,,Decimal,,,Hex,,,,,,,
Code,LSB,Device,Subdevice,Function,Device,Function,Width,Product,Key,Binary,Binary,Binary LSB
0x57236C93,0xEAC436C9,234,-1,54,0xEA,0x36,32,Roku (C4EA),ViX,,,
0x5723D22D,0xEAC44BB4,234,-1,75,0xEA,0x4B,32,Roku (C4EA),Netflix (12),,,
0x572332CD,0xEAC44CB3,234,-1,76,0xEA,0x4C,32,Roku (C4EA),Play/Pause,,,
0x5723AA55,0xEAC455AA,234,-1,85,0xEA,0x55,32,Roku (C4EA),Fwd,,,
0x57238679,0xEAC4619E,234,-1,97,0xEA,0x61,32,Roku (C4EA),*,,,
0x57236699,0xEAC46699,234,-1,102,0xEA,0x66,32,Roku (C4EA),Back,,,
0x57239669,0xEAC46996,234,-1,105,0xEA,0x69,32,Roku (C4EA),RokuChannel (151908),,,
0x57231EE1,0xEAC47887,234,-1,120,0xEA,0x78,32,Roku (C4EA),Replay,,,
0x10EF00FF,0x8F700FF,8,-1,0,0x8,0x0,32,Tigersecu TS-2MP-402T16 DVR,TOUR,,,
0x10EF807F,0x8F701FE,8,-1,1,0x8,0x1,32,Tigersecu TS-2MP-402T16 DVR,MUTE,,,
0x10EF40BF,0x8F702FD,8,-1,2,0x8,0x2,32,Tigersecu TS-2MP-402T16 DVR,IRIS+,,,
0x10EFA05F,0x8F705FA,8,-1,5,0x8,0x5,32,Tigersecu TS-2MP-402T16 DVR,AUTO,,,
0x10EF609F,0x8F706F9,8,-1,6,0x8,0x6,32,Tigersecu TS-2MP-402T16 DVR,GRID_16,,,
0x10EFD02F,0x8F70BF4,8,-1,11,0x8,0xB,32,Tigersecu TS-2MP-402T16 DVR,REC,,,
0x10EF30CF,0x8F70CF3,8,-1,12,0x8,0xC,32,Tigersecu TS-2MP-402T16 DVR,LOCK,,,
0x10EFB04F,0x8F70DF2,8,-1,13,0x8,0xD,32,Tigersecu TS-2MP-402T16 DVR,0,,,
0x10EF6897,0x8F716E9,8,-1,22,0x8,0x16,32,Tigersecu TS-2MP-402T16 DVR,7,,,
0x10EF9867,0x8F719E6,8,-1,25,0x8,0x19,32,Tigersecu TS-2MP-402T16 DVR,9,,,
0x10EF58A7,0x8F71AE5,8,-1,26,0x8,0x1A,32,Tigersecu TS-2MP-402T16 DVR,4,,,
0x10EF38C7,0x8F71CE3,8,-1,28,0x8,0x1C,32,Tigersecu TS-2MP-402T16 DVR,2,,,
0x10EFB847,0x8F71DE2,8,-1,29,0x8,0x1D,32,Tigersecu TS-2MP-402T16 DVR,3,,,
0x10EFF807,0x8F71FE0,8,-1,31,0x8,0x1F,32,Tigersecu TS-2MP-402T16 DVR,1,,,
0x10EF02FD,0x8F740BF,8,-1,64,0x8,0x40,32,Tigersecu TS-2MP-402T16 DVR,6,,,
0x10EF827D,0x8F741BE,8,-1,65,0x8,0x41,32,Tigersecu TS-2MP-402T16 DVR,PIP,,,
